Identifier,Comments,SubTask1,SubTask2
674,"Us society me aurat ko izzat kese mil sakti hai , jaha mardo ki ladai me galiya hi ma bahan ki di jati ho ..",Pessimistic,Criticism
11747,Ye patna ko badnam krne ki kosis n kijiye police ki kmi hai lekin sare log glt nhi hai,Pessimistic,Criticism
2811,Dusro ki bahan ke sath wo vyawahar kabhi na kre Jo aap apni bahan ke sath hota dekh ....bardast na kr sake ........,Optimistic,Suggestion
587,"Ye sab ke sakkar main mat aao. Ladkiyo ne hazaro saalo tak isshe koi guna jyada dard jhela hain. Even aaj bhi bohut saare mard wife ke saath domestic violence karta hain. Pahle ke time se Ladkiyo ko baccha paida karne ki and rape karne ki Machine ki tarah use kiya gaya hain. Aaj bhi bohut saare mard Ladkiyo ko ghar se bahar Jane nhi dete. Freedom of choice ke kapde pahane nhi dete. Now, govt and supreme court make laws for improvement of women. So, don't hesitate to use them. Because it's your time.",Optimistic,None
6473,Yehi hai apna sachai ladai hai ✒,Neutral,None
10713,Yes Bhai hun Youth hi Youth ko sudhar sakte hai aur ek great Indian ka Fir se Taj le dakte hai.🧡💟💚,Optimistic,Suggestion
2999,बेह्तरीन सच से आज आपने रूबरू कराया है,Neutral,None
9910,Amit Narayan Sahu city ke size ke anusar judge karte ho wow..nice..another educated literate guy right here👆,Optimistic,None
6984,"Oh beti , ladkiya bhi r@pe karti hai kisne kaha ladke hi karte hai , 15 saal ke ladke ka r@pe kiya tha ek ladki ne or ek old men ka gang r@pee kiya tha ladkiyo ne or old men ki death hogyi Ek or case mere ko yaad hai , ek auto waale ka r@pe kiya tha college ki girl ne 20-30 girl thi . tere ko kisne kaha ladkiya ganda kaam nahi karti yeh femnisme aapne pass rakh . Lucknow waali girl se patah chal gya 😐 That's why I he girl 🌚",Pessimistic,Criticism
453,​@ser majore kaise karogi hum tou raat maa ghar se hi nahi nikalta 😅😂,Neutral,None
8928,Sab parwarish ka natija h.....jinke k maaa baapo ko khud ki needs see fursat nhi milti na to wo bacho pr dhyan nhi de pate...unhi logo k Bache ye SB karte h.....and koi bhi middle class insan ye nhi krega ye SB Jo 3rd class or 1st class logo k kaam hote h,Pessimistic,Criticism
7357,"Merr dimag mai ek hi baat chalta hai agar koi kiske parsan karte huwe dikhta hai toh , just kill him .",Neutral,None
12608,Proud to be bihari... Kisi bihari Ne misbehave nai Kiya sare Ne help Kiya... Lkn police party kaha hai,Pessimistic,Criticism
2494,Achcha To Bhai Ham apni Patni baithe ho bacchiyon ko ab Sharab Swarg Ki Pari Bitiya Rani yah bolate Hain To yah Bhav ladkiyon mein kya emotion Paida Karta Hai yah Bhi Bata Do Bhai,Neutral,None
1998,Aye haye sir kya baat ha sir appki baat krne ki,Neutral,None
4540,Miss you papa aap to Ho hi nahi,Neutral,None
12194,Isme Tu madad kr rhe h sab agar nhi karegi tu yahe media wali bolegi ki aaj ki time m insaniyat nhi hai,Neutral,None
11458,USA me ye hona hi tha ........,Pessimistic,Criticism
12248,Shii boli ho ap mai v patna se hu but I m not safe here,Pessimistic,Criticism
4762,Male ego and violence persnality वाले लड़के repist बन जाते हैं......,Neutral,None
2049,Love ma girls ka ghamand jada hota ha more than Boys,Neutral,None
